Month,Division,Line,Day Type,Number Late,Scheduled Trips,Percent Late
2025-01-01,Subdivision A,1,2,99,2847,0.034773446
2025-01-01,Subdivision A,1,1,345,10164,0.033943329
2025-01-01,Subdivision A,2,1,296,7100,0.041690141
2025-01-01,Subdivision A,2,2,115,2140,0.053738318
2025-01-01,Subdivision A,3,1,209,6562,0.031850046
2025-01-01,Subdivision A,3,2,141,1983,0.071104387
2025-01-01,Subdivision A,4,1,260,8142,0.031933186
2025-01-01,Subdivision A,4,2,169,2736,0.061769006
2025-01-01,Subdivision A,5,1,228,7140,0.031932773
2025-01-01,Subdivision A,5,2,41,2273,0.018037835
2025-01-01,Subdivision A,6,1,371,12254,0.030275828
2025-01-01,Subdivision A,6,2,145,2784,0.052083333
2025-01-01,Subdivision A,7,1,476,14121,0.033708661
2025-01-01,Subdivision A,7,2,155,2816,0.055042614
2025-01-01,Subdivision B,A,2,149,3372,0.044187426
2025-01-01,Subdivision B,A,1,307,8515,0.036054022
2025-01-01,Subdivision B,B,1,281,4734,0.059357837
2025-01-01,Subdivision B,C,2,38,774,0.049095607
2025-01-01,Subdivision B,C,1,272,4884,0.055692056
2025-01-01,Subdivision B,D,1,233,6778,0.034375922
2025-01-01,Subdivision B,D,2,78,2819,0.027669386
2025-01-01,Subdivision B,E,2,82,2464,0.033279221
2025-01-01,Subdivision B,E,1,255,9020,0.02827051
2025-01-01,Subdivision B,F,1,350,8624,0.040584416
2025-01-01,Subdivision B,F,2,70,1874,0.037353255
2025-01-01,Subdivision B,G,1,748,6796,0.110064744
2025-01-01,Subdivision B,G,2,278,2315,0.120086393
2025-01-01,Subdivision B,JZ,2,0,2200,0
2025-01-01,Subdivision B,JZ,1,0,6543,0
2025-01-01,Subdivision B,L,2,58,3882,0.014940752
2025-01-01,Subdivision B,L,1,416,12004,0.034655115
2025-01-01,Subdivision B,M,2,31,2244,0.013814617
2025-01-01,Subdivision B,M,1,142,6422,0.022111492
2025-01-01,Subdivision B,NW,1,0,10384,0
2025-01-01,Subdivision B,NW,2,0,2074,0
2025-01-01,Subdivision B,Q,1,520,7253,0.071694471
2025-01-01,Subdivision B,Q,2,173,3358,0.051518761
2025-01-01,Subdivision B,R,2,87,1780,0.048876404
2025-01-01,Subdivision B,R,1,183,6596,0.027744087
2025-01-01,Subdivision B,S 42nd,2,0,3568,0
2025-01-01,Subdivision B,S 42nd,1,0,11876,0
2025-01-01,Subdivision B,S Fkln,2,0,2142,0
2025-01-01,Subdivision B,S Fkln,1,0,5180,0
2025-01-01,Subdivision B,S Rock,1,0,3713,0
2025-01-01,Subdivision B,S Rock,2,0,1117,0
2025-01-01,Subdivision B,SI,2,0,772,0
2025-01-01,Subdivision B,SI,1,0,3718,0
2025-02-01,Subdivision A,1,1,363,8754,0.041466758
2025-02-01,Subdivision A,1,2,107,2646,0.040438398
2025-02-01,Subdivision A,2,1,269,6118,0.043968617
2025-02-01,Subdivision A,2,2,80,1904,0.042016807
2025-02-01,Subdivision A,3,2,83,1880,0.044148936
2025-02-01,Subdivision A,3,1,218,5551,0.039272203
2025-02-01,Subdivision A,4,1,200,7033,0.028437367
2025-02-01,Subdivision A,4,2,128,2418,0.052936311
2025-02-01,Subdivision A,5,1,242,6145,0.039381611
2025-02-01,Subdivision A,5,2,67,1769,0.037874505
2025-02-01,Subdivision A,6,1,374,10598,0.035289677
2025-02-01,Subdivision A,6,2,178,2736,0.06505848
2025-02-01,Subdivision A,7,1,557,12189,0.04569694
2025-02-01,Subdivision A,7,2,123,2954,0.041638456
2025-02-01,Subdivision B,A,2,72,2530,0.028458498
2025-02-01,Subdivision B,A,1,217,7125,0.03045614
2025-02-01,Subdivision B,B,1,220,4056,0.054240631
2025-02-01,Subdivision B,C,1,230,4218,0.054528212
2025-02-01,Subdivision B,C,2,77,1410,0.054609929
2025-02-01,Subdivision B,D,1,233,5764,0.040423317
2025-02-01,Subdivision B,D,2,94,1944,0.048353909
2025-02-01,Subdivision B,E,2,48,1896,0.025316456
2025-02-01,Subdivision B,E,1,236,7790,0.03029525
2025-02-01,Subdivision B,F,1,375,7448,0.050349087
2025-02-01,Subdivision B,F,2,79,1888,0.04184322
2025-02-01,Subdivision B,G,2,187,2614,0.071537873
2025-02-01,Subdivision B,G,1,701,5760,0.121701389
