month,division,line,day_type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
2025-01-01,A DIVISION,1,1,8510,10164,0.837268792
2025-01-01,A DIVISION,1,2,2335,2847,0.820161574
2025-01-01,A DIVISION,2,1,5065,7100,0.713380282
2025-01-01,A DIVISION,2,2,1358,2140,0.634579439
2025-01-01,A DIVISION,3,1,5396,6562,0.822310271
2025-01-01,A DIVISION,3,2,1426,1983,0.719112456
2025-01-01,A DIVISION,4,1,6521,8142,0.800908868
2025-01-01,A DIVISION,4,2,2284,2736,0.834795322
2025-01-01,A DIVISION,5,1,5416,7140,0.758543417
2025-01-01,A DIVISION,5,2,2093,2273,0.920809503
2025-01-01,A DIVISION,6,1,10367,12254,0.846009466
2025-01-01,A DIVISION,6,2,2419,2784,0.868893678
2025-01-01,A DIVISION,7,1,13193,14121,0.934282275
2025-01-01,A DIVISION,7,2,2528,2816,0.897727273
2025-01-01,A DIVISION,S 42nd,1,11874,11876,0.999831593
2025-01-01,A DIVISION,S 42nd,2,3558,3568,0.997197309
2025-01-01,B DIVISION,A,1,6840,8515,0.803288315
2025-01-01,B DIVISION,A,2,2765,3372,0.819988138
2025-01-01,B DIVISION,B,1,2897,4734,0.611956063
2025-01-01,B DIVISION,C,1,3488,4884,0.714168714
2025-01-01,B DIVISION,C,2,641,774,0.828165375
2025-01-01,B DIVISION,D,1,5227,6778,0.771171437
2025-01-01,B DIVISION,D,2,2589,2819,0.918410784
2025-01-01,B DIVISION,E,1,7186,9020,0.796674058
2025-01-01,B DIVISION,E,2,2149,2464,0.872159091
2025-01-01,B DIVISION,F,1,5924,8624,0.686920223
2025-01-01,B DIVISION,F,2,1486,1874,0.792956243
2025-01-01,B DIVISION,G,1,4827,6796,0.710270747
2025-01-01,B DIVISION,G,2,1576,2315,0.680777538
2025-01-01,B DIVISION,JZ,1,5842,6543,0.892862601
2025-01-01,B DIVISION,JZ,2,2016,2200,0.916363636
2025-01-01,B DIVISION,L,1,10960,12004,0.91302899
2025-01-01,B DIVISION,L,2,3582,3882,0.922720247
2025-01-01,B DIVISION,M,1,5813,6422,0.905169729
2025-01-01,B DIVISION,M,2,2175,2244,0.969251337
2025-01-01,B DIVISION,N,1,7952,10384,0.765793529
2025-01-01,B DIVISION,N,2,1642,2074,0.791706847
2025-01-01,B DIVISION,Q,1,5734,7253,0.79056942
2025-01-01,B DIVISION,Q,2,3043,3358,0.906194163
2025-01-01,B DIVISION,R,1,4773,6596,0.723620376
2025-01-01,B DIVISION,R,2,1557,1780,0.874719101
2025-01-01,B DIVISION,S Fkln,1,5130,5180,0.99034749
