trip_id,stop_id,time,time2,order
L0S1-F-1079-S02_083900_F..S74R,F01,13:59:00,13:59:00,1
L0S1-F-1079-S02_083900_F..S74R,F02,14:01:00,14:01:00,2
L0S1-F-1079-S02_083900_F..S74R,F03,14:02:30,14:02:30,3
L0S1-F-1079-S02_083900_F..S74R,F04,14:04:00,14:04:00,4
L0S1-F-1079-S02_083900_F..S74R,F05,14:06:30,14:06:30,5
L0S1-F-1079-S02_083900_F..S74R,F06,14:08:30,14:08:30,6
L0S1-F-1079-S02_083900_F..S74R,F07,14:10:30,14:10:30,7
L0S1-F-1079-S02_083900_F..S74R,G08,14:12:30,14:12:30,8
L0S1-F-1079-S02_083900_F..S74R,G14,14:18:00,14:18:00,9
L0S1-F-1079-S02_083900_F..S74R,B04,14:24:00,14:25:30,10
L0S1-F-1079-S02_083900_F..S74R,B06,14:27:30,14:27:30,11
L0S1-F-1079-S02_083900_F..S74R,B08,14:30:00,14:30:00,12
L0S1-F-1079-S02_083900_F..S74R,B10,14:32:30,14:32:30,13
L0S1-F-1079-S02_083900_F..S74R,D15,14:34:30,14:34:30,14
L0S1-F-1079-S02_083900_F..S74R,D16,14:36:00,14:36:00,15
L0S1-F-1079-S02_083900_F..S74R,D17,14:37:30,14:37:30,16
L0S1-F-1079-S02_083900_F..S74R,D18,14:39:30,14:39:30,17
L0S1-F-1079-S02_083900_F..S74R,D19,14:41:00,14:41:00,18
L0S1-F-1079-S02_083900_F..S74R,D20,14:43:00,14:43:00,19
L0S1-F-1079-S02_083900_F..S74R,D21,14:45:30,14:45:30,20
L0S1-F-1079-S02_083900_F..S74R,F14,14:47:00,14:47:00,21
L0S1-F-1079-S02_083900_F..S74R,F15,14:48:30,14:48:30,22
L0S1-F-1079-S02_083900_F..S74R,F16,14:50:00,14:50:00,23
L0S1-F-1079-S02_083900_F..S74R,F18,14:52:30,14:52:30,24
L0S1-F-1079-S02_083900_F..S74R,A41,14:54:30,14:54:30,25
L0S1-F-1079-S02_083900_F..S74R,F20,14:57:30,14:57:30,26
L0S1-F-1079-S02_083900_F..S74R,F21,14:59:00,14:59:00,27
L0S1-F-1079-S02_083900_F..S74R,F22,15:01:00,15:01:00,28
L0S1-F-1079-S02_083900_F..S74R,F23,15:03:00,15:03:00,29
L0S1-F-1079-S02_083900_F..S74R,F24,15:05:00,15:05:00,30
L0S1-F-1079-S02_083900_F..S74R,F25,15:06:30,15:06:30,31
L0S1-F-1079-S02_083900_F..S74R,F26,15:09:00,15:09:00,32
L0S1-F-1079-S02_083900_F..S74R,F27,15:11:00,15:11:00,33
L0S1-F-1079-S02_083900_F..S74R,F29,15:13:00,15:13:00,34
L0S1-F-1079-S02_083900_F..S74R,F30,15:15:00,15:15:00,35
L0S1-F-1079-S02_083900_F..S74R,F31,15:16:00,15:16:00,36
L0S1-F-1079-S02_083900_F..S74R,F32,15:17:30,15:17:30,37
L0S1-F-1079-S02_083900_F..S74R,F33,15:19:00,15:19:00,38
L0S1-F-1079-S02_083900_F..S74R,F34,15:20:30,15:20:30,39
L0S1-F-1079-S02_083900_F..S74R,F35,15:22:00,15:24:00,40
L0S1-F-1079-S02_083900_F..S74R,F36,15:26:00,15:26:00,41
L0S1-F-1079-S02_083900_F..S74R,F38,15:28:00,15:29:00,42
L0S1-F-1079-S02_083900_F..S74R,F39,15:31:30,15:31:30,43
L0S1-F-1079-S02_083900_F..S74R,D42,15:33:30,15:33:30,44
L0S1-F-1079-S02_083900_F..S74R,D43,15:35:00,15:35:00,45
