index,lines,time,stop1,stop2,stop 1 count,stop 2 count
"('R36', 'R41')",N,242.0,36 St,59 St,2,3
"('R36', 'R41')",R,242.0,36 St,59 St,2,3
"('D05', 'D06')",B,90.0,Fordham Rd,182-183 Sts,2,1
"('D05', 'D06')",D,90.0,Fordham Rd,182-183 Sts,2,1
"('D05', 'D07')",B,180.0,Fordham Rd,Tremont Av,2,2
"('D05', 'D07')",D,180.0,Fordham Rd,Tremont Av,2,2
"('D06', 'D07')",B,120.0,182-183 Sts,Tremont Av,1,2
"('D06', 'D07')",D,120.0,182-183 Sts,Tremont Av,1,2
"('D07', 'D08')",B,90.0,Tremont Av,174-175 Sts,2,1
"('D07', 'D08')",D,90.0,Tremont Av,174-175 Sts,2,1
"('D07', 'D13')",B,461.05263157894734,Tremont Av,145 St,2,4
"('D07', 'D13')",D,461.05263157894734,Tremont Av,145 St,2,4
"('D08', 'D09')",B,90.0,174-175 Sts,170 St,1,1
"('D08', 'D09')",D,90.0,174-175 Sts,170 St,1,1
"('D09', 'D10')",B,120.0,170 St,167 St,1,1
"('D09', 'D10')",D,120.0,170 St,167 St,1,1
"('D10', 'D11')",B,120.0,167 St,161 St-Yankee Stadium,1,1
"('D10', 'D11')",D,120.0,167 St,161 St-Yankee Stadium,1,1
"('D11', 'D12')",B,130.2,161 St-Yankee Stadium,155 St,1,1
"('D11', 'D12')",D,130.2,161 St-Yankee Stadium,155 St,1,1
"('D12', 'D13')",B,120.0,155 St,145 St,1,4
"('D12', 'D13')",D,120.0,155 St,145 St,1,4
"('D14', 'D15')",B,90.0,7 Av,47-50 Sts-Rockefeller Ctr,4,1
"('D14', 'D15')",D,90.0,7 Av,47-50 Sts-Rockefeller Ctr,4,1
"('D04', 'D05')",B,120.0,Kingsbridge Rd,Fordham Rd,1,1
"('D04', 'D05')",D,120.0,Kingsbridge Rd,Fordham Rd,1,1
"('R06', 'R08')",N,90.0,36 Av,39 Av-Dutch Kills,1,1
"('R06', 'R08')",W,90.0,36 Av,39 Av-Dutch Kills,1,1
"('D17', 'D18')",M,120.0,34 St-Herald Sq,23 St,4,4
"('D17', 'D18')",F,120.0,34 St-Herald Sq,23 St,4,4
"('R04', 'R05')",N,108.0,30 Av,Broadway,1,1
"('R04', 'R05')",W,108.0,30 Av,Broadway,1,1
"('D18', 'D19')",M,90.0,23 St,14 St,4,4
"('D18', 'D19')",F,90.0,23 St,14 St,4,4
"('D19', 'D20')",M,90.0,14 St,W 4 St-Wash Sq,3,3
"('D19', 'D20')",F,90.0,14 St,W 4 St-Wash Sq,3,3
"('R03', 'R04')",N,71.84210526315789,Astoria Blvd,30 Av,1,1
"('R03', 'R04')",W,71.84210526315789,Astoria Blvd,30 Av,1,1
"('D21', 'D22')",B,126.95121951219512,Broadway-Lafayette St,Grand St,1,1
"('D21', 'D22')",D,126.95121951219512,Broadway-Lafayette St,Grand St,1,1
"('D24', 'D25')",B,129.77528089887642,Atlantic Av-Barclays Ctr,7 Av,5,3
"('D24', 'D25')",Q,129.77528089887642,Atlantic Av-Barclays Ctr,7 Av,5,3
"('D24', 'R30')",B,134.83870967741936,Atlantic Av-Barclays Ctr,DeKalb Av,5,1
"('D24', 'R30')",Q,134.83870967741936,Atlantic Av-Barclays Ctr,DeKalb Av,5,1
"('D25', 'D26')",B,180.0,7 Av,Prospect Park,4,1
"('D25', 'D26')",Q,180.0,7 Av,Prospect Park,4,1
"('D26', 'D28')",B,120.0,Prospect Park,Church Av,1,4
"('D26', 'D28')",Q,120.0,Prospect Park,Church Av,1,4
"('D28', 'D31')",B,150.0,Church Av,Newkirk Plaza,2,1
"('D28', 'D31')",Q,150.0,Church Av,Newkirk Plaza,2,1
"('R05', 'R06')",N,101.84210526315789,Broadway,36 Av,1,1
"('R05', 'R06')",W,101.84210526315789,Broadway,36 Av,1,1
"('D31', 'D35')",B,270.0,Newkirk Plaza,Kings Hwy,1,1
"('D31', 'D35')",Q,270.0,Newkirk Plaza,Kings Hwy,1,1
"('D03', 'D04')",B,120.0,Bedford Park Blvd,Kingsbridge Rd,1,1
"('D03', 'D04')",D,120.0,Bedford Park Blvd,Kingsbridge Rd,1,1
"('A48', 'A51')",A,209.4,Utica Av,Broadway Junction,1,2
"('A48', 'A51')",C,209.4,Utica Av,Broadway Junction,1,2
"('A15', 'D13')",B,216.0,125 St,145 St,6,4
"('A15', 'D13')",D,216.0,125 St,145 St,6,4
"('A16', 'A17')",B,90.0,116 St,Cathedral Pkwy (110 St),3,1
"('A16', 'A17')",C,90.0,116 St,Cathedral Pkwy (110 St),3,1
"('A17', 'A18')",B,60.0,Cathedral Pkwy (110 St),103 St,1,2
"('A17', 'A18')",C,60.0,Cathedral Pkwy (110 St),103 St,1,2
"('A18', 'A19')",B,90.0,103 St,96 St,2,2
"('A18', 'A19')",C,90.0,103 St,96 St,2,2
"('A19', 'A20')",B,90.0,96 St,86 St,4,3
"('A19', 'A20')",C,90.0,96 St,86 St,4,3
"('A20', 'A21')",B,90.0,86 St,81 St-Museum of Natural History,3,1
"('A20', 'A21')",C,90.0,86 St,81 St-Museum of Natural History,3,1
"('A21', 'A22')",B,90.0,81 St-Museum of Natural History,72 St,1,2
"('A21', 'A22')",C,90.0,81 St-Museum of Natural History,72 St,1,2
"('A22', 'A24')",B,90.0,72 St,59 St-Columbus Circle,2,2
"('A22', 'A24')",C,90.0,72 St,59 St-Columbus Circle,2,2
"('A24', 'A27')",A,209.4,59 St-Columbus Circle,42 St-Port Authority Bus Terminal,2,2
"('A24', 'A27')",C,209.4,59 St-Columbus Circle,42 St-Port Authority Bus Terminal,2,2
"('A24', 'D14')",B,160.0,59 St-Columbus Circle,7 Av,2,3
"('A24', 'D14')",D,160.0,59 St-Columbus Circle,7 Av,2,3
"('A25', 'A27')",E,95.57522123893806,50 St,42 St-Port Authority Bus Terminal,1,2
"('A25', 'A27')",C,95.57522123893806,50 St,42 St-Port Authority Bus Terminal,1,2
"('A51', 'A55')",A,293.265306122449,Broadway Junction,Euclid Av,2,1
"('A51', 'A55')",C,293.265306122449,Broadway Junction,Euclid Av,2,1
"('A28', 'A30')",E,116.25,34 St-Penn Station,23 St,3,4
"('A28', 'A30')",C,116.25,34 St-Penn Station,23 St,3,4
"('R09', 'R11')",N,286.0,Queensboro Plaza,Lexington Av/59 St,2,1
"('R09', 'R11')",W,286.0,Queensboro Plaza,Lexington Av/59 St,2,1
"('A32', 'A33')",E,120.0,W 4 St-Wash Sq,Spring St,3,2
"('A32', 'A33')",C,120.0,W 4 St-Wash Sq,Spring St,3,2
"('R08', 'R09')",N,150.0,39 Av-Dutch Kills,Queensboro Plaza,1,2
"('R08', 'R09')",W,150.0,39 Av-Dutch Kills,Queensboro Plaza,1,2
"('A33', 'A34')",E,90.0,Spring St,Canal St,2,5
"('A33', 'A34')",C,90.0,Spring St,Canal St,2,5
