time,date,original,normalized
Day,09_22,0.5208,0.5625
Rush,09_22,0.6562,0.6354
Day,09_29,0.4375,0.5833
Rush,09_29,0.5521,0.6042
Day,10_06,0.5625,0.5417
Rush,10_06,0.5521,0.6562
Day,10_13,0.5521,0.5833
Rush,10_13,0.4792,0.5938
Day,10_20,0.4479,0.5521
Rush,10_20,0.4062,0.5104
Day,10_27,0.4896,0.4792
Rush,10_27,0.5312,0.6042
Day,11_03,0.3542,0.4583
Rush,11_03,0.4167,0.4896
Day,11_10,0.5104,0.5417
Rush,11_10,0.5417,0.6458
Day,11_17,0.5000,0.4583
Rush,11_17,0.3958,0.5625
Day,11_24,0.5417,0.5312
Rush,11_24,0.4896,0.5625
